> XY_LONLAT
53.902396 27.993924
53.864037 28.035940
53.793063 28.035362
53.768216 28.082711
53.867488 28.222507
53.929879 28.223017
54.066622 28.408896
54.128983 28.412851
54.296000 28.641313
54.295205 28.737965
54.326664 28.783997
54.390295 28.779411
54.426615 28.828928
54.425833 28.923802
54.660531 29.246157
54.725398 29.246694
54.756836 29.294506
54.753563 29.389360
54.791123 29.433779
54.924434 29.438220
55.053826 29.624170
55.250822 29.625816
55.318541 29.716153
55.657475 29.715669
55.687659 29.768475
55.684431 29.856551
55.753366 29.953792
55.749321 30.138519
55.886051 30.324549
55.885262 30.417756
55.952935 30.511544
55.949797 30.597955
56.051294 30.739582
56.113662 30.740112
56.342061 31.069252
56.348670 31.159079
56.378790 31.208554
56.441233 31.209088
56.571794 31.389858
56.642703 31.393910
56.840844 31.675369
56.909374 31.675959
57.039913 31.856738
57.110846 31.857352
57.239990 32.050011
57.374588 32.047847
57.436117 32.143263
57.504643 32.143860
57.566213 32.234279
57.637142 32.234898
57.767605 32.420802
57.969376 32.426016
58.068442 32.562543
58.063512 32.840477
58.101014 32.886582
58.297913 32.888319
58.335399 32.936091
58.334559 33.031076
58.402280 33.121557
58.392375 33.679204
58.328069 33.765073
58.323892 33.956577
58.391603 34.047058
58.385016 34.791276
58.313275 34.885524
58.303508 35.709376
58.371142 35.806634
58.369419 36.272806
58.438321 36.361633
58.427717 37.287139
58.495251 37.384397
58.492411 37.569137
58.555117 37.659576
58.558392 37.840926
58.687423 38.037059
58.685453 38.123480
58.953329 38.498844
58.950092 38.592142
59.217995 38.960741
59.214756 39.053928
59.276176 39.151140
59.281468 39.239293
59.343027 39.329730
59.340021 39.521245
59.469088 39.707174
59.475642 39.797116
59.535911 39.887543
59.542339 39.982484
59.801620 40.356141
59.800758 40.451127
>
58.083886 31.080908
58.149512 30.993382
58.147922 30.618732
58.188700 30.576650
58.322016 30.577827
58.421103 30.714359
58.417778 30.809211
58.449212 30.853596
58.582523 30.854778
58.620033 30.900886
58.619175 30.997537
58.512771 31.135581
58.444315 31.134975
58.378657 31.225942
58.182991 31.224214
58.083886 31.080908
>
-59.652777 -35.703542
-59.585660 -35.795687
-59.516399 -35.792862
-59.482263 -35.842383
-59.481850 -35.932265
-59.457545 -35.976476
-59.384633 -35.982237
-59.321189 -36.069236
-59.250801 -36.076639
-59.088529 -36.306940
-59.086861 -36.401944
-59.053888 -36.446342
-58.984731 -36.446954
-58.950506 -36.496362
-58.954650 -36.681081
-59.023390 -36.770351
-59.021801 -36.865353
-58.988824 -36.909640
-58.715660 -36.912051
-58.520399 -37.190179
-58.316498 -37.195298
-58.179715 -37.383026
-57.842305 -37.385961
-57.778871 -37.478056
-57.510705 -37.480374
-57.374314 -37.293350
-57.306334 -37.290490
-57.167582 -37.110370
-56.964978 -37.115437
-56.897390 -37.016026
-55.949575 -37.030824
-55.882046 -36.936402
-55.748596 -36.939296
-55.681042 -36.841540
-55.610723 -36.848903
-55.543214 -36.756144
-55.411274 -36.940331
-55.211077 -36.941991
-55.141091 -36.852804
-55.078057 -36.849881
-54.934448 -36.671421
-54.736727 -36.667937
-54.664321 -36.578653
-54.263947 -36.581924
-54.191836 -36.677498
-53.251341 -36.679966
-53.180401 -36.772076
-52.982745 -36.776982
-52.877624 -36.920243
-52.883277 -37.010076
-52.778014 -37.146559
-52.308443 -37.150259
-52.142353 -36.926034
-52.136671 -36.831201
-52.105325 -36.778898
-52.036203 -36.784437
-51.937441 -36.644558
-51.930824 -36.273324
-51.793481 -36.086195
-51.827728 -36.043601
-51.959974 -36.044238
-52.065115 -35.902769
-52.059421 -35.806159
-52.126681 -35.719200
-52.094258 -35.673682
-52.031182 -35.674174
-51.992526 -35.628704
-51.986722 -34.884512
-51.950581 -34.839022
-51.887633 -34.844623
-51.820157 -34.746827
